rate,votes,location,rest_type,dish_liked,cuisines
3.8/5,918,Banashankari,Cafe Casual Dining,Churros Cannelloni Minestrone Soup Hot Chocolate Pink Sauce Pasta Salsa Veg Supreme Pizza,Cafe Mexican Italian
3.8/5,90,Banashankari,Cafe,Garlic Bread Burgers Sandwiches Pizza Hot Chocolate Fudge Waffles Potato Wedges,Cafe
3.9/5,133,Banashankari,Cafe,Momos Mushroom Bruschettas Jalapeno Cheeseballs Pasta Red Velvet Shake Red Velvet Milkshake Maggi,Cafe Fast Food Continental Chinese Momos
3.8/5,144,Banashankari,Cafe,Pasta Gelato Garlic Bread Mojito Nachos Paneer Pizza Mocktails,Chinese Cafe Italian
3.9/5,93,Banashankari,Cafe,Cheese Maggi Peri Peri Fries Pasta Arrabiata,Cafe Italian American
3.0/5,62,Banashankari,Cafe,Burgers Caramel Milkshake Iced Coffee Iced Tea,Cafe French North Indian
3.7/5,180,Banashankari,Cafe,Pizza Garlic Bread,Cafe Pizza Fast Food Beverages
3.6/5,62,Banashankari,Quick Bites Cafe,Pasta Iced Tea,Italian Fast Food Cafe European
3.8/5,148,Basavanagudi,Casual Dining Cafe,Paratha Sandwich Chilli Idli Noodles Sandwiches Lime Soda,North Indian Cafe Chinese Fast Food
4.0/5,219,Basavanagudi,Cafe,Pizza Fries Anjeer Ice Cream Sandwiches Gelato Burgers Kesar Badam,Cafe Italian
2.8/5,506,Banashankari,Quick Bites,Burgers Lassi Chicken Grill Naan Momos Chicken Burger Biryani,North Indian Fast Food Chinese Burger
3.9/5,172,Banashankari,Delivery,Paneer Tikka Garlic Bread Thin Crust Pizza Falafel Veggie Pizza,Pizza
4.2/5,415,Banashankari,Quick Bites,Rolls Veggie Wrap Chocolate Fantasy Rice Bowls Chicken Rice Paneer Makhanwala Chicken Tikka Wrap,North Indian Biryani Fast Food
3.9/5,230,Banashankari,Delivery,Raita Gulab Jamun Paneer Biryani Vegetable Biryani Gosht Dum Biryani Chicken Biryani Murgh Biryani,Biryani
4.2/5,1647,Banashankari,Casual Dining,Noodles Momos Veg Manchow Soup Kung Pao Chicken Chicken Lollipop Chop Suey Dragon Chicken,Chinese Thai Momos
4.4/5,4884,Jayanagar,Casual Dining,Chicken Tikka Masala Mutton Keema Dosa Mutton Biryani Raan Biryani Brain Fry Chicken Grill Ghee Rice,North Indian Mughlai South Indian Chinese
3.8/5,133,Basavanagudi,Quick Bites,Dabeli Faluda Masala Poori Sandwiches Tokri Chaat Pav Bhaji Dahipuri,Street Food Fast Food
3.9/5,286,Banashankari,Quick Bites,Burgers Fries Hot Chocolate,Burger Fast Food
3.9/5,540,Banashankari,Quick Bites,Pane Pizza Lava Cake Pasta Stuffed Garlic Bread Chocolava Cake Tacos,Pizza Fast Food
4.6/5,2556,Banashankari,Casual Dining Cafe,Farmhouse Pizza Chocolate Banana Virgin Mojito Pasta Paneer Tikka Lime Soda Prawn Pizza,Pizza Cafe Italian
3.8/5,36,Banashankari,Delivery,Prompt Service,North Indian Continental Italian
3.6/5,244,Kumaraswamy Layout,Quick Bites,Biryani,North Indian Chinese
4.0/5,804,Kumaraswamy Layout,Casual Dining,Butter Chicken Noodles Thali Biryani,North Indian Chinese Biryani Rolls
3.7/5,679,Rajarajeshwari Nagar,Casual Dining,Momos Dragon Chicken Hakka Noodles Chowmein Chop Suey Chilli Garlic Noodles Garlic Rice,Chinese Thai
3.1/5,245,Kumaraswamy Layout,Quick Bites,Paratha Pasta,North Indian Chinese Momos Rolls
4.3/5,345,Banashankari,Dessert Parlor,Hot Chocolate Fudge Vanilla Ice Cream Fudge Cake Chocolate Mousse,Ice Cream Desserts
4.0/5,618,Jayanagar,Casual Dining,Prawn Biryani Dragon Chicken Chicken Boneless Biryani Afghani Biryani Mughlai Biryani Paneer Tikka Biryani Gongura Biryani,Biryani North Indian Chinese Andhra South Indian
4.0/5,1047,Banashankari,Quick Bites,Pasta Momos Rolls Chicken Roll Chilli Chicken Paneer Roll Spaghetti,Italian Continental Fast Food Chinese Momos
3.9/5,627,Banashankari,Delivery,Salads Sandwiches Salad Thai Rice Pasta Noodles Pizza,Healthy Food Chinese Biryani North Indian Continental Salad American Burger
4.2/5,354,Banashankari,Casual Dining,Sushi Noodles Wine Khau Suey Mocktails Yakisoba Spring Roll,Asian Korean Indonesian Japanese Chinese Thai Momos
4.2/5,244,Banashankari,Casual Dining,Pasta Pepper Pizza Paneer Pizza Peppy Paneer Nachos Supreme Pizza Manchow Soup,Italian North Indian Mexican
3.6/5,163,Kumaraswamy Layout,Casual Dining,Sea Food Crab Meat Crab Soup Fish Curry Chicken Cafreal Butter Naan Butter Chicken,Goan Seafood North Indian Chinese Biryani
4.0/5,808,Banashankari,Casual Dining,Salads Panneer Butter Masala Rabri Gajar Ka Halwa Manchow Soup Aam Panna Tomato Basil Soup,North Indian Chinese
4.1/5,1720,Basavanagudi,Quick Bites,Grape Juice Chicken Grill Chicken Tikka Roll Shawarma Roll Chicken Shawarama Biryani Combo Rolls,North Indian Kebab Chinese Fast Food
4.1/5,868,Banashankari,Pub,Beer Wedges Pizza Nachos Salads Papaya Salad Buffalo Wings,Continental Italian Mexican North Indian Chinese Steak
4.1/5,520,Banashankari,Quick Bites,Vegetable Biryani Ginger Chicken Chicken Biryani Donne Biryani Chicken Kebab Egg Bhurji Dum Biryani,Biryani Chinese Kebab
3.6/5,299,Banashankari,Quick Bites,Rolls Momos Fries Veggie Roll Chicken Kebab Roll Paneer Roll Cheese Roll,Fast Food Rolls Momos
4.1/5,558,Basavanagudi,Quick Bites,Benne Dosa Mirchi Bajji Filter Coffee Poha Tea Butter Dosa Crispy Dosa,South Indian
3.8/5,39,Banashankari,Quick Bites,Masala Dosa,South Indian Chinese North Indian
4.2/5,146,Banashankari,Beverage Shop,Berryblast Waffles Cheesecake Salted Caramel,Beverages Desserts Ice Cream
4.4/5,4401,Jayanagar,Casual Dining,Chicken Boneless Biryani Hyderabadi Biryani Paneer Biryani Tandoori Chicken Vegetable Biryani Chicken Kebab Raita,Biryani North Indian Chinese
2.6/5,283,Banashankari,Casual Dining,Biryani Chicken Guntur Thali Buttermilk Manchurian,North Indian
3.3/5,62,Banashankari,Bar,Chilli Chicken,South Indian North Indian Chinese
3.7/5,65,Banashankari,Quick Bites,Panipuri Chaat Noodles Dahi Bhalle,Fast Food Street Food
3.8/5,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,Ice Cream Desserts Beverages Sandwich
3.5/5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian
3.7/5,130,Banashankari,Quick Bites,Coffee Tea Kesari Bath Open Dosa Vada Idli Bread Dosa,South Indian
3.8/5,45,Banashankari,Takeaway Delivery,Cup Cake Chocolate Cake,Bakery
4.1/5,201,Banashankari,Quick Bites,Masala Dosa Tirupathi Pongal Filter Coffee Vada Kharabath Kali Dosa Rava Idli,South Indian North Indian Chinese Street Food
4.0/5,771,Banashankari,Casual Dining,Panner Tikka Kulfi Coffee Pav Bhaji Carrot Halwa Fried Rice Set Dosa,South Indian North Indian Chinese
3.0/5,98,Banashankari,Bar,Paneer Tikka Dal Kichadi French Fries,North Indian Chinese
4.1/5,175,Jayanagar,Casual Dining,Filter Coffee Masala Dosa Idli Vada,South Indian North Indian Chinese Beverages
3.8/5,540,Basavanagudi,Casual Dining,Rolls Shawarma Butter Chicken Mutton Biryani Lahori Chicken Chicken Roll Grape Juice,North Indian Kebab Biryani Chinese
3.8/5,124,Kumaraswamy Layout,Quick Bites,Rolls Paratha Chicken Biryani,Chinese North Indian Mughlai Rolls
4.1/5,340,Banashankari,Takeaway Delivery,Paratha Mughlai Chicken Masala Lemonade Butter Chicken Rajma Sandwich Salad,North Indian Mughlai Fast Food
3.8/5,505,Banashankari,Quick Bites,Burgers French Fries,Burger Fast Food
4.1/5,438,Jayanagar,Dessert Parlor,Rolls Ice Cream Roll Paan Ice Cream Coffee Vanilla Ice Cream Chocolate Icecreams Mississippi Mudpie,Desserts Ice Cream Beverages Fast Food Sandwich
3.7/5,264,Mysore Road,Casual Dining,Kadhai Paneer Ghee Rice Chicken Grill Shawarma Paratha Biryani Butter Chicken,North Indian Chinese Biryani Beverages
3.7/5,97,Jayanagar,Quick Bites,Chicken Biryani Rolls,North Indian Mughlai Chinese
3.6/5,195,Jayanagar,Casual Dining,Roast Pork Tai Pai Chicken Beer Sweet Corn Chicken Soup Masala Peanuts Chinese Chop Suey Chicken Lollipop,Chinese Seafood Biryani
4.6/5,228,Jayanagar,Cafe,Pizza Nachos Garlic Maggi Burgers Cheese Maggi Bruschetta Bites Sandwich,Cafe Beverages
4.1/5,364,Jayanagar,Casual Dining,Noodles Laksa Soup Coffee Veg Fritters Vegetarian Babycorn Manchurian Mango Salad,Thai Vietnamese Asian Chinese
3.7/5,107,Basavanagudi,Beverage Shop,Lassi,Beverages Ice Cream
3.2/5,167,Kumaraswamy Layout,Quick Bites,Coffee Chaat,South Indian North Indian Chinese Juices
4.2/5,64,Basavanagudi,Quick Bites,Pizza Nachos Salads Peri Peri Fries Brownie Pasta Alfredo Spaghetti,Salad Healthy Food Sandwich Juices Burger Desserts Pizza
3.0/5,290,Banashankari,Quick Bites,Chicken Grill Biryani Roti Chicken Masala,North Indian Chinese Biryani Kebab
4.1/5,233,Basavanagudi,Quick Bites,Chaat Pav Bhaji Dabeli Vada Pav Tawa Pulav Panipuri Malpua,Street Food
3.8/5,115,Kumaraswamy Layout,Quick Bites,Pizza Burgers,Fast Food Pizza
3.9/5,291,Jayanagar,Cafe,Burgers Panneer Butter Masala Pasta Hot Dog Fries Cheesy Pizza Potato Wedges,Cafe Burger Continental Italian Desserts
4.5/5,155,Jayanagar,Beverage Shop,Sandwiches Thick Shakes Paan Shake Brownie Bomb Fries Spinach Corn Sandwich Paneer Peri Peri,Beverages Sandwich
4.1/5,305,Kumaraswamy Layout,Casual Dining,Pizza Pasta Spinach Salsa Garlic Bread Lasagne Bruschettas Chocolate Bomb,Italian
3.9/5,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream
3.9/5,441,Banashankari,Quick Bites,Biryani,South Indian North Indian Chinese Biryani
4.3/5,630,Jayanagar,Quick Bites,Paratha Vada Pav Chaat Pav Bhaji Panipuri Masala Poori Dhokla,North Indian Street Food Juices
3.9/5,160,Kumaraswamy Layout,Quick Bites,Whole Meat Shawarma Fries,Arabian
4.2/5,287,Banashankari,Quick Bites,Panneer Butter Masala Lassi Paratha Jeera Rice Paneer Parantha Bhindi Fry Veg Kolhapuri,North Indian
4.1/5,402,Banashankari,Cafe,Waffles Pasta Crispy Chicken Honey Chilli Chicken Sandwich Coffee Crepe,Cafe
3.8/5,469,Basavanagudi,Casual Dining,Masala Papad Paneer Satay Vegetable Biryani Panneer Butter Masala Tomato Soup Manchow Soup Roti,North Indian Chinese Beverages
3.3/5,511,Kumaraswamy Layout,Casual Dining,Shawarma Biryani Bbq Chicken Chicken Grill Raita,BBQ Arabian Rolls Chinese North Indian Juices Kebab Desserts
3.9/5,264,Banashankari,Quick Bites,Jowar Roti Buttermilk Sabudana Vada Thali Mirchi Bajji Brinjal Curry,South Indian
3.0/5,62,Banashankari,Cafe,Burgers Caramel Milkshake Iced Coffee Iced Tea,Cafe French North Indian
3.8/5,693,Banashankari,Casual Dining,Supreme Pizza Potato Wedges Masala Lemonade Tandoori Paneer Exotic Garlic Bread,Pizza Fast Food
3.8/5,242,Jayanagar,Casual Dining,Neer Dosa Sea Food Ghee Rice Marwai Sukka Egg Biryani Kori Roti Thai Fish,Mangalorean Seafood Chinese Biryani
4.1/5,163,Basavanagudi,Quick Bites,White Pasta Noodles Babycorn Manchurian Pizza Veg Momos Fry Momos Tawa Pulav,Continental Fast Food Street Food Momos
4.2/5,191,Basavanagudi,Quick Bites,Masala Dosa Sandwiches Coffee Onion Dosa Rava Dosa Chaat Sandwich,Street Food Fast Food
3.5/5,32,Banashankari,Quick Bites,French Fries Burgers,Pizza Sandwich Burger Fast Food
2.5/5,247,Banashankari,Casual Dining,Paratha Boondi Raita Roti Kulfi Panneer Butter Masala Sweet Lassi Dal Tadka,North Indian
4.1/5,2339,Jayanagar,Casual Dining,Veg Momos Brownie Chocolate Palak Chaat Mutton Biryani Dahipuri Fish Sea Food,North Indian Chinese BBQ
4.1/5,337,Jayanagar,Quick Bites,Noodles Pasta Schezwan Momos Chicken Momo Teriyaki Chicken Thukpa Fries,Chinese Fast Food
3.9/5,135,Banashankari,Casual Dining,Spring Roll Manchow Soup Babycorn Manchurian Mint Cooler Roti Panneer Butter Masala,North Indian Chinese Continental
3.6/5,172,Uttarahalli,Casual Dining,Biryani,North Indian Chinese
3.6/5,105,Banashankari,Casual Dining,Pho Papaya Salad Coffee Veg Momos Rolls,Vietnamese
4.2/5,504,Banashankari,Cafe,Waffles Pasta Coleslaw Sandwich Choco Waffle Tacos Momos Cheese Nachos,Cafe Mexican Italian Momos Beverages
4.3/5,1129,Jayanagar,Casual Dining,Pizza Pasta Salads Calamari Ravioli Pumpkin Soup Wine,Italian Salad
4.3/5,860,Banashankari,Dessert Parlor,Nachos Cup Cake Hot Chocolate Fudge Salsa Cheesy Garlic Bread Waffles Tiramisu,Desserts Ice Cream
3.8/5,412,Jayanagar,Casual Dining,Lime Soda Manchow Soup Biryani Lemon Chicken Tomato Soup Butter Naan Chilli Chicken,Andhra Seafood North Indian Chinese
3.9/5,142,Jayanagar,Casual Dining,Murgh Ghee Roast Fish Fry Ghee Roast Paneer Neer Dosa Appam Sea Food Chicken Sukha,Mangalorean Seafood South Indian
3.6/5,143,Jayanagar,Casual Dining,Ragi Mudde Lemon Chicken Chilli Chicken Chicken Curry Mutton Chops Mutton Biryani,South Indian Biryani Chinese North Indian
4.4/5,181,Jayanagar,Beverage Shop,Pasta Potato Fries Potato Wedges Hot Chocolate Chaat Filter Coffee Americano,Beverages Tea
3.8/5,70,Jayanagar,Quick Bites,Sweet Lassi Gulab Jamun Palak Paneer Paratha Paneer Parantha,North Indian Street Food
3.8/5,164,Basavanagudi,Quick Bites,Pizza White Sauce Pasta Masala Garlic Bread,Pizza Italian
3.6/5,58,Kumaraswamy Layout,Quick Bites,Burgers Fries Mojito Chicken Burger,Cafe Burger Beverages
3.8/5,148,Basavanagudi,Casual Dining Cafe,Paratha Sandwich Chilli Idli Noodles Sandwiches Lime Soda,North Indian Cafe Chinese Fast Food
3.9/5,206,Basavanagudi,Quick Bites,Chicken Biryani Mutton Biryani Egg Biryani Chicken Fry Mutton Fry,South Indian Mangalorean
3.7/5,217,Basavanagudi,Casual Dining,Chaat Brownie Onion Rings Tomato Soup Paneer Manchurian Thali Faluda,North Indian Chinese South Indian Fast Food Juices
3.8/5,148,Basavanagudi,Quick Bites,Sandwiches Chocolate Sandwich Chaat Veg Cheese Sandwich Chilli Cheese Corn Sandwich,Fast Food Street Food
2.9/5,177,Jayanagar,Casual Dining,Prawn Biryani Andhra Meal Veg Thali Fry Piece Biryani Gongura Chicken Paratha,North Indian Chinese Biryani Andhra Mangalorean
3.7/5,136,Banashankari,Quick Bites,Veggie Delight Paneer Tikka Salad,Salad Fast Food
4.1/5,185,Jayanagar,Quick Bites,Faluda Brownie Sandwich Kulfi Fruit Salad Sweet Lassi Chocolate Fudge,Juices Desserts
3.8/5,155,Mysore Road,Casual Dining,Pav Bhaji Masala Dosa Idli Vada Filter Coffee Pongal Curd Rice Kesari Bath,South Indian North Indian Chinese Street Food
3.8/5,42,Banashankari,Quick Bites,Roti Masala Dosa,South Indian North Indian Chinese
3.8/5,286,Basavanagudi,Casual Dining,Onion Rings Pasta Kadhai Paneer Salads Salad Roti Jeera Rice,North Indian
3.8/5,160,Banashankari,Casual Dining,Masala Papad Paneer Satay Paneer Hyderabadi Butter Naan Roti,North Indian Chinese
3.8/5,59,Banashankari,Casual Dining,Stuffed Mushroom Chicken Biryani Jal-jeera,North Indian Chinese
4.0/5,89,Jayanagar,Quick Bites,Filter Coffee Tea Hot Coffee Hatti Samosa,South Indian Beverages
3.9/5,40,Basavanagudi,Casual Dining,Masala Dosa,North Indian Chinese South Indian Fast Food
2.5/5,35,Basavanagudi,Quick Bites,Badam Milk Potato Twister Pav Bhaji Panipuri Tikki Chaat Cheese Cutlet,Fast Food
3.6/5,62,Banashankari,Quick Bites Cafe,Pasta Iced Tea,Italian Fast Food Cafe European
4.1/5,139,Jayanagar,Casual Dining,Roti Butter Kulcha Fried Rice Tomato Soup Curd Rice Lunch Buffet Paneer Tikka,North Indian Chinese South Indian
3.7/5,237,Banashankari,Quick Bites,Chicken Biryani,South Indian Fast Food
3.9/5,388,Banashankari,Casual Dining,Chicken Biryani Ragi Mudde Mutton Chops,Biryani North Indian Seafood Andhra
3.9/5,128,Kumaraswamy Layout,Casual Dining,Masala Dosa Coffee,South Indian Chinese Street Food Juices
4.1/5,1875,Jayanagar,Casual Dining,Cocktails Paneer Tikka Rasmalai Rabri Masala Papad Vegetable Biryani Chicken Curry,North Indian Afghani Mughlai
3.8/5,90,Banashankari,Cafe,Garlic Bread Burgers Sandwiches Pizza Hot Chocolate Fudge Waffles Potato Wedges,Cafe
4.2/5,179,Banashankari,Delivery,Veggie Pizza Garlic Bread Lava Cake Chocolava Spicy Paneer,Pizza
4.3/5,275,Basavanagudi,Quick Bites,Kharabath Crispy Vada Filter Coffee Idli Vada Idli Chutney Kesari Bath Gulab Jamun,South Indian
3.7/5,323,Jayanagar,Casual Dining,Noodles Veg Momos Chowmein Schezwan Fried Rice Clear Soup Sweet Corn Soup Chicken Wings,Chinese Thai Momos
4.3/5,322,Jayanagar,Casual Dining,Veg Thali Matka Kulfi Pongal Buttermilk Vada Ragi Mudde Curd Rice,South Indian
2.6/5,157,Jayanagar,Cafe,Coffee Sandwich Hot Chocolate Ice Tea Sandwiches Chicken Lasagne Pizza,Cafe American Pizza
3.9/5,543,Basavanagudi,Quick Bites,Jowar Roti Buttermilk Jolada Rotti Brinjal Curry Coffee Pongal Vegetable Biryani,South Indian Fast Food
3.7/5,180,Banashankari,Cafe,Pizza Garlic Bread,Cafe Pizza Fast Food Beverages
4.2/5,444,Basavanagudi,Quick Bites,Sweet Pongal Mini Idlis Filter Coffee Open Masala Dosa Pakoda Vada Raagi Dosa,South Indian
3.9/5,134,Jayanagar,Quick Bites,Paratha Coffee Halwa Lassi,Street Food North Indian South Indian
3.8/5,577,Jayanagar,Casual Dining,Vegetable Biryani Pineapple Rasam Cheese Garlic Naan Potato Cheese Ball Bamboo Chicken Biryani Chicken Skewer Fish,North Indian South Indian Biryani Beverages
3.9/5,144,Jayanagar,Casual Dining,Malai Kofta Sandwich Naan,North Indian Chinese Rolls
4.1/5,787,Banashankari,Casual Dining,Momos Lunch Buffet Chocolate Nirvana Thai Green Curry Paneer Tikka Dum Biryani Chicken Biryani,Chinese North Indian Thai
3.6/5,84,Banashankari,Quick Bites,Coffee Masala Dosa,South Indian North Indian Chinese
4.0/5,349,Banashankari,Casual Dining,Sea Food Neer Dosa Anjal Masala Fry Coconut Pudding Chicken Biryani Roti Fish Curry,Seafood Biryani Beverages South Indian North Indian Kebab
3.7/5,248,Kumaraswamy Layout,Quick Bites,Tandoori Chicken Rolls,North Indian Fast Food
4.1/5,216,Basavanagudi,Cafe,Pasta Nachos Jalapeno Poppers Burrito Bowl Ferrero Rocher Shake Falafal Sandwich Banana Waffles,Cafe Continental Beverages Desserts
4.0/5,324,Banashankari,Cafe,Pizza Mocktails Coffee Nachos Salad Pasta Sandwiches,Cafe Italian Continental
2.6/5,231,Kumaraswamy Layout,Quick Bites,Aloo Paratha,North Indian Chinese Rolls Biryani Kebab
3.4/5,102,Uttarahalli,Casual Dining,Rava Dosa,South Indian North Indian Chinese Beverages
3.9/5,133,Banashankari,Cafe,Momos Mushroom Bruschettas Jalapeno Cheeseballs Pasta Red Velvet Shake Red Velvet Milkshake Maggi,Cafe Fast Food Continental Chinese Momos
2.8/5,45,Banashankari,Casual Dining,Pesto Pizza,Pizza Italian Salad
3.8/5,75,Banashankari,Quick Bites,Sandwiches Noodles Sandwich,Fast Food Chinese
4.0/5,53,Rajarajeshwari Nagar,Delivery,Lasagne Steak Masala Quesadilla Garlic Bread,Mexican Italian
4.2/5,815,Jayanagar,Casual Dining,Breakfast Buffet Kulcha Almond Soup Lunch Buffet Roti Mocktails Vegetarian,North Indian Chinese
4.0/5,633,Banashankari,Casual Dining,Hara Bhara Kabab Crispy Corn Patiala Paneer Panneer Butter Masala Dum Biryani Jal-jeera Butter Naan,North Indian Chinese
3.5/5,56,Jayanagar,Dessert Parlor,Waffles Cup Cake Chocolate Cake,Ice Cream Desserts Beverages
3.9/5,70,Banashankari,Dessert Parlor,Waffles,Fast Food Desserts Ice Cream
3.9/5,91,Jayanagar,Cafe,Momos Burgers Rolls Sandwich Hot Chocolate Tea Naga Thali,Cafe Fast Food Chinese
3.8/5,77,Kumaraswamy Layout,Cafe,Freak Shake Fries Pasta Alfredo,Cafe Continental Fast Food
3.8/5,210,Kumaraswamy Layout,Casual Dining,Butter Chicken Chicken Grill Tandoori Chicken Noodles Biryani Fried Rice Chicken,North Indian Chinese Fast Food
4.1/5,130,Jayanagar,Cafe,Pizza Pasta Nachos Burgers Sandwich Tea Cheese Balls,Cafe Italian Pizza
4.1/5,30,Jayanagar,Beverage Shop,Masala Chai Coffee Masala Tea Maggi,Beverages Tea
3.8/5,144,Banashankari,Cafe,Pasta Gelato Garlic Bread Mojito Nachos Paneer Pizza Mocktails,Chinese Cafe Italian
3.7/5,133,Jayanagar,Casual Dining,Salad Mocktails Chocolava Pesto Pasta Momos Jasmine Rice Tom Yum Soup,Chinese Thai Continental North Indian
4.0/5,136,Jayanagar,Quick Bites,Vada Masala Dosa Idli,South Indian Fast Food
3.8/5,74,Basavanagudi,Quick Bites,Coffee Masala Dosa Vegetable Biryani,South Indian North Indian Chinese
3.7/5,54,Basavanagudi,Cafe,Pasta Pizza Burgers Pancakes Garlic Bread,Cafe Beverages
3.4/5,58,Basavanagudi,Cafe,Maggi Pasta Burgers Sandwiches Fries,Cafe Fast Food
3.6/5,129,Banashankari,Casual Dining,Sea Food Neer Dosa,Mangalorean Seafood North Indian
3.5/5,41,South Bangalore,Food Truck,Pizza,Pizza Fast Food BBQ
4.1/5,176,Basavanagudi,Casual Dining,Brownie Mojito Prawn Ghee Roast Corn Tikki Mushroom Ghee Roast Pinacolada Biryani,Andhra North Indian Chinese
3.7/5,47,Jayanagar,Quick Bites Dessert Parlor,Biryani Thick Shakes Fries,Fast Food Desserts Beverages
3.7/5,36,Jayanagar,Casual Dining,Vegetarian,Chinese North Indian Pizza Italian
3.9/5,101,Basavanagudi,Quick Bites,Sweet Pongal Curd Rice,South Indian
4.1/5,442,Jayanagar,Pub Casual Dining,Pesto Pizza Buffalo Wings Cocktails Beer Egg Ghee Roast Brownie Pepper Chicken,Continental Finger Food Seafood Pizza
3.8/5,53,Jayanagar,Quick Bites,Waffles Sandwiches Maggi Thick Shakes Chocolate Sandwich,Ice Cream Beverages Fast Food
4.0/5,232,Jayanagar,Quick Bites,Honey Chilli Potatoes Nachos Lemonade Hakka Noodles Babycorn Manchurian Mushroom Manchurian Spring Roll,South Indian Chinese
3.9/5,221,Jayanagar,Casual Dining,Manchow Soup Momos Wonton Soup Chowmein American Chopsuey Chop Suey Manchurian,Chinese
4.1/5,1063,Jayanagar,Casual Dining Bar,Pasta Pizza Nachos Gelato Ravioli Jalapeno Poppers Cocktails,Italian Fast Food Salad BBQ
3.7/5,93,Basavanagudi,Quick Bites,Masala Vada Pav Cheese Vada Pav Fries,Street Food
3.9/5,233,Jayanagar,Casual Dining,Corn Augratin Lasagne Fries Garlic Bread Pili Pili Pizza Mexican Rice Ravioli,Italian Pizza North Indian Salad
3.9/5,211,Jayanagar,Casual Dining,Salads Sandwiches Pasta Mocktails Corn Sandwich Garden Salad Miso Salad,Fast Food Continental Beverages Salad Healthy Food
4.0/5,1778,Jayanagar,Quick Bites,Coffee Thali Kharabath Masala Dosa Idli Vada Vanilla Ice Cream Bisi Bele Bhaath,North Indian South Indian Fast Food Juices
3.6/5,218,Vijay Nagar,Casual Dining,Veg Jaipuri Neer Dosa Kulcha Pepper Chicken Chilli Mushroom Murgh Platter Paneer Tikka,North Indian Chinese South Indian
3.7/5,514,Basavanagudi,Cafe,Pizza Pasta Alfredo Brownie Garlic Bread Sandwiches Lemon Mojito Mocha Fudge,Cafe Italian Beverages
4.0/5,866,Jayanagar,Casual Dining,Mocktails Tomato Soup Pasta Nachos Chaat Potli Biryani Lassi,North Indian Continental
3.2/5,96,Kumaraswamy Layout,Quick Bites,Paratha Lassi Manchurian Thali,North Indian
3.5/5,80,Banashankari,Quick Bites,Rolls Burgers Juicy Momos Chicken Momo Chocolate Momos Mushroom Momo Paneer Momos,Tibetan Momos
4.0/5,73,Basavanagudi,Bakery,Macaroon Mousse Caramel Eclair,Bakery French Desserts
3.9/5,84,Jayanagar,Sweet Shop,Dahi Papadi Chaat Papdi Chaat Bhel Puri Paratha Kachori Thali Masala Poori,Mithai Street Food
3.5/5,88,Banashankari,Quick Bites,Chicken Grill,South Indian North Indian Chinese Biryani
3.5/5,179,Banashankari,Casual Dining,Gulab Jamun Roti Masala Papad Babycorn Manchurian Paratha Clear Soup Biryani,North Indian Chinese Beverages
3.8/5,61,Basavanagudi,Quick Bites,Sugarcane Juice Popcorn,Juices
3.7/5,128,Uttarahalli,Casual Dining,Egg Biryani Tandoori Chicken Fish Rumali Roti,North Indian Chinese Biryani South Indian
3.8/5,339,Jayanagar,Quick Bites,Rava Dosa Roti Masala Dosa Kulcha Sandwiches Vada Pav Idli,South Indian North Indian Chinese
4.1/5,449,Basavanagudi,Quick Bites,Masala Poori Bhel Puri Panipuri Chaat Dahipuri Sev Puri Dahi Aloo Puri,Street Food
